"value_eur";"club_name";"league_id";"league_name";"club_position";"overall";"potential";"age";"wage_eur";"release_clause_eur";"nation_team_id";"moneda"
97500000;"Olympique Lyonnais";2218;"Feminine Division 1";"LB";86;91;22;1000;207200000;113003;"€"
89500000;"Paris Saint Germain";2218;"Feminine Division 1";"RCM";86;89;25;2000;194700000;113003;"€"
9,1e+07;"Bayern Munich";2215;"Bundesliga Women";"ST";86;89;25;2000;197900000;113004;"€"
94500000;"Manchester City";2216;"Women's Super League";"LW";86;89;22;2000;205500000;113002;"£"
85500000;"Chicago Red Stars";2221;"NWSL";"RES";86;88;25;2000;1,86e+08;;"€"
71500000;"Paris Saint Germain";2218;"Feminine Division 1";"LB";86;87;27;2000;155500000;113003;"€"
8,1e+07;"Arsenal";2216;"Women's Super League";"SUB";86;87;26;2000;172100000;113011;"£"
8e+07;"Manchester City";2216;"Women's Super League";"CAM";86;87;26;2000;1,74e+08;113011;"£"
5,1e+07;"Manchester United";2216;"Women's Super League";"GK";86;87;30;1000;110900000;113002;"£"
43500000;"Juventus";603;"Serie A Women";"ST";86;86;33;2000;91400000;;"€"
61500000;"Chelsea";2216;"Women's Super League";"RB";86;86;28;2000;126100000;113000;"£"
6,6e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"RCM";86;86;29;2000;135300000;113009;"€"
4,2e+07;"Arsenal";2216;"Women's Super League";"LCM";86;86;33;2000;86100000;;"£"
71500000;"Barcelona";2222;"Primera Division Women";"SUB";85;90;26;2000;151900000;113002;"€"
7,2e+07;"Barcelona";2222;"Primera Division Women";"SUB";85;89;24;1000;1,53e+08;113012;"€"
6,1e+07;"Chelsea";2216;"Women's Super League";"RCB";85;88;27;2000;129600000;113000;"£"
62500000;"Arsenal";2216;"Women's Super League";"SUB";85;88;26;2000;132800000;113002;"£"
49500000;"Wolfsburg";2215;"Bundesliga Women";"GK";85;88;28;1000;105200000;113004;"€"
67500000;"Manchester City";2216;"Women's Super League";"ST";85;87;26;2000;146800000;;"£"
4,9e+07;"Arsenal";2216;"Women's Super League";"GK";85;87;27;1000;104100000;;"£"
4,6e+07;"San Diego Wave";2221;"NWSL";"GK";85;86;27;1000;100100000;113000;"€"
56500000;"Arsenal";2216;"Women's Super League";"LW";85;86;27;2000;120100000;;"£"
9500000;"Portland Thorns";2221;"NWSL";"RES";85;85;38;1000;2e+07;;"€"
17500000;"OL Reign";2221;"NWSL";"LM";85;85;37;1000;36800000;113009;"€"
3,7e+07;"Wolfsburg";2215;"Bundesliga Women";"RCB";85;85;31;2000;75900000;113004;"€"
26500000;"Angel City";2221;"NWSL";"RDM";85;85;33;2000;55700000;;"€"
4,3e+07;"Wolfsburg";2215;"Bundesliga Women";"RAM";85;85;32;2000;88200000;113004;"€"
45500000;"Aston Villa";2216;"Women's Super League";"ST";85;85;31;2000;95600000;113002;"£"
4,5e+07;"Chelsea";2216;"Women's Super League";"LCB";85;85;29;2000;92300000;113002;"£"
5,5e+07;"Barcelona";2222;"Primera Division Women";"ST";85;85;28;2000;112800000;;"€"
58500000;"Bayern Munich";2215;"Bundesliga Women";"LDM";84;89;24;1000;127200000;113002;"€"
5,2e+07;"Paris";2218;"Feminine Division 1";"GK";84;89;22;1000;113100000;;"€"
6,5e+07;"Washington Spirit";2221;"NWSL";"RS";84;89;21;1000;141400000;113009;"€"
60500000;"Chelsea";2216;"Women's Super League";"CAM";84;88;23;1000;128600000;;"£"
5,2e+07;"Paris Saint Germain";2218;"Feminine Division 1";"RES";84;88;26;1000;113100000;;"€"
5,1e+07;"Juventus";603;"Serie A Women";"LB";84;87;26;1000;110900000;;"€"
5,6e+07;"Paris";2218;"Feminine Division 1";"RM";84;87;25;2000;121800000;113003;"€"
5,6e+07;"Manchester City";2216;"Women's Super League";"RW";84;87;25;2000;121800000;113002;"£"
58500000;"Arsenal";2216;"Women's Super League";"ST";84;87;24;2000;124300000;113002;"£"
38500000;"Portland Thorns";2221;"NWSL";"GK";84;86;27;1000;83700000;;"€"
49500000;"Olympique Lyonnais";2218;"Feminine Division 1";"RES";84;85;26;2000;105200000;;"€"
33500000;"Houston Dash";2221;"NWSL";"GK";84;85;28;1000;72900000;;"€"
40500000;"Portland Thorns";2221;"NWSL";"RCM";84;84;30;2000;85100000;113009;"€"
13500000;"Orlando Pride";2221;"NWSL";"CAM";84;84;37;1000;28400000;;"€"
34500000;"Arsenal";2216;"Women's Super League";"LCB";84;84;30;1000;70700000;113008;"£"
42500000;"Arsenal";2216;"Women's Super League";"RW";84;84;28;2000;87100000;;"£"
2,2e+07;"Barcelona";2222;"Primera Division Women";"SUB";84;84;33;1000;45100000;;"€"
40500000;"Chelsea";2216;"Women's Super League";"SUB";84;84;30;2000;8,3e+07;113002;"£"
4,2e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";84;84;28;2000;86100000;113004;"€"
20500000;"Olympique Lyonnais";2218;"Feminine Division 1";"LW";84;84;34;2000;4,2e+07;113003;"€"
40500000;"Olympique Lyonnais";2218;"Feminine Division 1";"LCM";84;84;30;2000;8,3e+07;113003;"€"
1,2e+07;"Kansas City";2221;"NWSL";"SUB";84;84;35;1000;25200000;113000;"€"
40500000;"Paris Saint Germain";2218;"Feminine Division 1";"LW";84;84;30;2000;85100000;113011;"€"
42500000;"Bayern Munich";2215;"Bundesliga Women";"SUB";84;84;28;2000;89300000;113004;"€"
42500000;"Real Madrid";2222;"Primera Division Women";"CAM";84;84;28;2000;89300000;113984;"€"
2,1e+07;"Chelsea";2216;"Women's Super League";"GK";84;84;32;1000;43100000;113004;"£"
40500000;"Bayern Munich";2215;"Bundesliga Women";"CAM";84;84;30;2000;85100000;;"€"
36500000;"Tottenham";2216;"Women's Super League";"RB";84;84;30;1000;76700000;;"£"
22500000;"Washington Spirit";2221;"NWSL";"GK";84;84;31;1000;47300000;113009;"€"
13500000;"OL Reign";2221;"NWSL";"LDM";84;84;36;1000;28400000;;"€"
17500000;"Chicago Red Stars";2221;"NWSL";"CAM";84;84;35;1000;36800000;;"€"
7,4e+07;"Barcelona";2222;"Primera Division Women";"SUB";83;90;21;1000;166500000;;"€"
73500000;"Madrid CFF";2222;"Primera Division Women";"RS";83;90;23;1000;169100000;;"€"
58500000;"Chelsea";2216;"Women's Super League";"RW";83;89;21;1000;131600000;113002;"£"
5,1e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"RB";83;88;23;1000;108400000;;"€"
54500000;"Chelsea";2216;"Women's Super League";"RCM";83;88;24;1000;115800000;113984;"£"
55500000;"Atletico Madrid";2222;"Primera Division Women";"LW";83;88;23;1000;120700000;;"€"
5,6e+07;"Bayern Munich";2215;"Bundesliga Women";"LM";83;88;22;1000;121800000;113004;"€"
5,5e+07;"Manchester United";2216;"Women's Super League";"CAM";83;88;23;1000;119600000;113002;"£"
55500000;"Eintracht Frankfurt";2215;"Bundesliga Women";"RS";83;88;24;1000;120700000;;"€"
55500000;"Paris";2218;"Feminine Division 1";"ST";83;88;24;1000;120700000;;"€"
55500000;"Levante";2222;"Primera Division Women";"RS";83;88;24;1000;120700000;;"€"
48500000;"Bayern Munich";2215;"Bundesliga Women";"SUB";83;87;23;1000;105500000;113004;"€"
4,7e+07;"Bayern Munich";2215;"Bundesliga Women";"SUB";83;87;25;1000;102200000;;"€"
5,2e+07;"Juventus";603;"Serie A Women";"CAM";83;87;23;1000;113100000;;"€"
4,1e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"RCB";83;86;27;1000;8,3e+07;113000;"€"
4,8e+07;"Eintracht Frankfurt";2215;"Bundesliga Women";"CAM";83;86;25;1000;104400000;113004;"€"
36500000;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";83;85;28;1000;77600000;;"€"
3,3e+07;"North Carolina Courage";2221;"NWSL";"GK";83;85;27;1000;71800000;113009;"€"
34500000;"Wolfsburg";2215;"Bundesliga Women";"LCB";83;84;28;1000;73300000;113011;"€"
3,8e+07;"Wolfsburg";2215;"Bundesliga Women";"LB";83;84;27;1000;80800000;113004;"€"
3e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";83;83;31;1000;61500000;;"€"
13500000;"NJ/NY Gotham";2221;"NWSL";"SUB";83;83;34;1000;28400000;113009;"€"
17500000;"Angel City";2221;"NWSL";"SUB";83;83;34;2000;36800000;;"€"
13500000;"Portland Thorns";2221;"NWSL";"LB";83;83;34;1000;28400000;;"€"
4e+06;"Chicago Red Stars";2221;"NWSL";"GK";83;83;35;700;8400000;113009;"€"
8500000;"Portland Thorns";2221;"NWSL";"LCM";83;83;40;1000;19600000;113000;"€"
30500000;"Bayern Munich";2215;"Bundesliga Women";"LCB";83;83;29;1000;64100000;113008;"€"
25500000;"Juventus";603;"Serie A Women";"RCM";83;83;31;1000;53600000;;"€"
2,9e+07;"Juventus";603;"Serie A Women";"RW";83;83;32;2000;60900000;;"€"
3,2e+07;"Arsenal";2216;"Women's Super League";"LB";83;83;29;1000;65600000;;"£"
30500000;"Manchester City";2216;"Women's Super League";"LCB";83;83;29;1000;64100000;113002;"£"
14500000;"Houston Dash";2221;"NWSL";"RCM";83;83;35;1000;30500000;113000;"€"
1,8e+07;"Kansas City";2221;"NWSL";"GK";83;83;32;1000;37800000;;"€"
1,8e+07;"Ajax";610;"Eredivisie Women";"CM";83;83;33;1000;39600000;113011;"€"
35500000;"NJ/NY Gotham";2221;"NWSL";"ST";83;83;30;2000;74600000;113009;"€"
2,5e+07;"Eintracht Frankfurt";2215;"Bundesliga Women";"RCB";83;83;31;1000;52500000;113004;"€"
3,7e+07;"Atletico Madrid";2222;"Primera Division Women";"ST";83;83;28;2000;77700000;;"€"
1,9e+07;"Juventus";603;"Serie A Women";"GK";83;83;31;1000;39900000;113003;"€"
3,2e+07;"Manchester United";2216;"Women's Super League";"LB";83;83;29;1000;67200000;;"£"
17500000;"Wolfsburg";2215;"Bundesliga Women";"SUB";83;83;33;1000;35900000;113004;"€"
39500000;"Wolfsburg";2215;"Bundesliga Women";"SUB";83;83;26;1000;8,1e+07;113004;"€"
31500000;"Bayern Munich";2215;"Bundesliga Women";"RCB";83;83;28;1000;66200000;116428;"€"
30500000;"Arsenal";2216;"Women's Super League";"CDM";83;83;30;1000;62500000;;"£"
35500000;"Manchester United";2216;"Women's Super League";"LM";83;83;29;2000;74600000;;"£"
6,2e+07;"Real Sociedad";2222;"Primera Division Women";"RW";82;89;22;1000;142600000;;"€"
4,8e+07;"Arsenal";2216;"Women's Super League";"RCM";82;88;23;1000;1,08e+08;113007;"£"
3,9e+07;"Real Madrid";2222;"Primera Division Women";"GK";82;88;23;800;89700000;113012;"€"
4,4e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"CM";82;88;23;1000;9,9e+07;113011;"€"
4,8e+07;"Washington Spirit";2221;"NWSL";"CAM";82;88;24;1000;110400000;113009;"€"
4,9e+07;"Wolfsburg";2215;"Bundesliga Women";"SUB";82;88;22;1000;110300000;116428;"€"
4,8e+07;"Levante";2222;"Primera Division Women";"LCM";82;88;24;1000;110400000;;"€"
44500000;"Real Sociedad";2222;"Primera Division Women";"LCB";82;88;22;1000;102400000;;"€"
4,1e+07;"Barcelona";2222;"Primera Division Women";"SUB";82;87;25;1000;87100000;113007;"€"
4,6e+07;"Bayern Munich";2215;"Bundesliga Women";"RM";82;87;23;1000;100100000;113004;"€"
4,6e+07;"Angel City";2221;"NWSL";"SUB";82;87;23;1000;100100000;;"€"
4,6e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";82;87;23;1000;97800000;;"€"
4,6e+07;"Real Sociedad";2222;"Primera Division Women";"LW";82;87;23;1000;100100000;;"€"
4,6e+07;"Eintracht Frankfurt";2215;"Bundesliga Women";"CDM";82;87;24;1000;100100000;;"€"
39500000;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";82;86;25;1000;83900000;;"€"
43500000;"Paris Saint Germain";2218;"Feminine Division 1";"RW";82;86;23;1000;94600000;;"€"
37500000;"OL Reign";2221;"NWSL";"RCB";82;86;26;1000;81600000;113009;"€"
43500000;"Wolfsburg";2215;"Bundesliga Women";"SUB";82;86;24;1000;92400000;;"€"
35500000;"Paris";2218;"Feminine Division 1";"LCB";82;85;26;1000;77200000;;"€"
3,6e+07;"Manchester City";2216;"Women's Super League";"LCM";82;85;26;1000;78300000;;"£"
3,5e+07;"Manchester United";2216;"Women's Super League";"LDM";82;85;27;1000;76100000;113002;"£"
3,6e+07;"Atletico Madrid";2222;"Primera Division Women";"CDM";82;85;26;1000;78300000;;"€"
3,6e+07;"Juventus";603;"Serie A Women";"LW";82;83;26;1000;78300000;113011;"€"
3,6e+07;"Portland Thorns";2221;"NWSL";"RW";82;83;26;1000;78300000;;"€"
36500000;"Levante";2222;"Primera Division Women";"LS";82;83;26;1000;79400000;113012;"€"
35500000;"Hoffenheim";2215;"Bundesliga Women";"ST";82;83;27;1000;77200000;;"€"
3,3e+07;"Kansas City";2221;"NWSL";"LB";82;83;26;1000;71800000;;"€"
5500000;"NJ/NY Gotham";2221;"NWSL";"RCB";82;82;38;900;11600000;;"€"
1,9e+07;"San Diego Wave";2221;"NWSL";"LM";82;82;33;1000;39900000;113008;"€"
9500000;"Rosengard";814;"Damallsvenskan Women";"SUB";82;82;38;1000;20900000;113008;"€"
2,4e+07;"Rosengard";814;"Damallsvenskan Women";"LM";82;82;32;1000;52800000;113008;"€"
5500000;"Juventus";603;"Serie A Women";"RCB";82;82;36;900;11600000;113008;"€"
2,6e+07;"San Diego Wave";2221;"NWSL";"RDM";82;82;29;1000;54600000;;"€"
1e+07;"Paris";2218;"Feminine Division 1";"CAM";82;82;37;1000;2,1e+07;;"€"
2,5e+07;"Aston Villa";2216;"Women's Super League";"RCM";82;82;31;1000;52500000;113003;"£"
2,1e+07;"Washington Spirit";2221;"NWSL";"SUB";82;82;31;1000;44100000;;"€"
2e+07;"Orlando Pride";2221;"NWSL";"SUB";82;82;32;1000;4,2e+07;;"€"
2,6e+07;"OL Reign";2221;"NWSL";"RDM";82;82;29;1000;54600000;113009;"€"
26500000;"Manchester City";2216;"Women's Super League";"LB";82;82;30;1000;55700000;;"£"
2,5e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";82;82;31;1000;51300000;113011;"€"
27500000;"Chelsea";2216;"Women's Super League";"SUB";82;82;28;1000;56400000;113003;"£"
26500000;"Bayern Munich";2215;"Bundesliga Women";"RES";82;82;30;1000;55700000;;"€"
32500000;"Washington Spirit";2221;"NWSL";"SUB";82;82;27;1000;68300000;;"€"
26500000;"OL Reign";2221;"NWSL";"RB";82;82;30;1000;55700000;113009;"€"
3,1e+07;"Washington Spirit";2221;"NWSL";"LS";82;82;28;2000;65100000;113009;"€"
29500000;"Levante";2222;"Primera Division Women";"CAM";82;82;30;1000;6,2e+07;;"€"
30500000;"Tottenham";2216;"Women's Super League";"RS";82;82;29;2000;64100000;113002;"£"
2,4e+07;"Paris Saint Germain";2218;"Feminine Division 1";"SUB";82;82;32;1000;50400000;;"€"
29500000;"Portland Thorns";2221;"NWSL";"SUB";82;82;29;1000;6,2e+07;;"€"
2,7e+07;"Racing Louisville";2221;"NWSL";"LB";82;82;29;1000;56700000;;"€"
2,5e+07;"Kansas City";2221;"NWSL";"RDM";82;82;31;1000;52500000;;"€"
25500000;"Houston Dash";2221;"NWSL";"LCB";82;82;29;1000;53600000;;"€"
2,4e+07;"Atletico Madrid";2222;"Primera Division Women";"RES";82;82;32;1000;50400000;;"€"
5,6e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";81;90;19;800;1,26e+08;;"€"
56500000;"Wolfsburg";2215;"Bundesliga Women";"SUB";81;89;20;1000;127100000;113004;"€"
48500000;"Manchester United";2216;"Women's Super League";"RCB";81;88;21;800;111600000;;"£"
37500000;"Wolfsburg";2215;"Bundesliga Women";"RDM";81;87;23;950;84400000;113004;"€"
40500000;"Aston Villa";2216;"Women's Super League";"RW";81;87;24;1000;93200000;;"£"
38500000;"Manchester United";2216;"Women's Super League";"SUB";81;86;25;1000;83700000;;"£"
39500000;"Real Madrid";2222;"Primera Division Women";"RW";81;86;22;1000;85900000;113012;"€"
38500000;"Freiburg";2215;"Bundesliga Women";"LCM";81;86;24;1000;83700000;;"€"
36500000;"Aston Villa";2216;"Women's Super League";"LB";81;86;24;950;79400000;;"£"
3,4e+07;"Chicago Red Stars";2221;"NWSL";"RCB";81;86;25;1000;7,4e+07;;"€"
3,2e+07;"Paris Saint Germain";2218;"Feminine Division 1";"LCB";81;85;25;1000;69600000;113003;"€"
3,4e+07;"Levante";2222;"Primera Division Women";"SUB";81;84;26;1000;7,4e+07;;"€"
29500000;"Washington Spirit";2221;"NWSL";"CDM";81;84;27;1000;64200000;113009;"€"
32500000;"North Carolina Courage";2221;"NWSL";"LB";81;84;24;950;70700000;113009;"€"
3e+07;"Real Sociedad";2222;"Primera Division Women";"ST";81;82;27;1000;65300000;;"€"
3e+07;"Arsenal";2216;"Women's Super League";"SUB";81;82;27;1000;63800000;113008;"£"
29500000;"Fleury 91";2218;"Feminine Division 1";"CAM";81;82;27;1000;64200000;;"€"
2,7e+07;"Paris Saint Germain";2218;"Feminine Division 1";"RB";81;82;27;1000;58700000;;"€"
16500000;"Angel City";2221;"NWSL";"ST";81;81;33;1000;34700000;;"€"
2,2e+07;"Chelsea";2216;"Women's Super League";"SUB";81;81;29;1000;45100000;;"£"
21500000;"Juventus";603;"Serie A Women";"LCB";81;81;29;1000;45200000;;"€"
8500000;"Juventus";603;"Serie A Women";"RB";81;81;34;1000;17900000;;"€"
24500000;"Aston Villa";2216;"Women's Super League";"LCM";81;81;30;1000;51500000;113002;"£"
1,3e+07;"Montpellier";2218;"Feminine Division 1";"LDM";81;81;33;1000;27300000;;"€"
27500000;"Houston Dash";2221;"NWSL";"LW";81;81;27;1000;57800000;113010;"€"
24500000;"San Diego Wave";2221;"NWSL";"LDM";81;81;30;1000;51500000;;"€"
25500000;"NJ/NY Gotham";2221;"NWSL";"SUB";81;81;30;1000;53600000;113012;"€"
9500000;"OL Reign";2221;"NWSL";"LB";81;81;34;1000;2e+07;;"€"
12500000;"Racing Louisville";2221;"NWSL";"RCB";81;81;33;1000;26300000;;"€"
25500000;"Manchester United";2216;"Women's Super League";"RM";81;81;29;1000;53600000;113002;"£"
27500000;"Barcelona";2222;"Primera Division Women";"LW";81;81;27;1000;56400000;113012;"€"
2,2e+07;"Kansas City";2221;"NWSL";"RES";81;81;30;1000;46200000;113008;"€"
27500000;"NJ/NY Gotham";2221;"NWSL";"SUB";81;81;27;1000;57800000;;"€"
22500000;"Eintracht Frankfurt";2215;"Bundesliga Women";"LB";81;81;29;1000;47300000;;"€"
24500000;"Paris";2218;"Feminine Division 1";"LDM";81;81;30;1000;51500000;;"€"
2,2e+07;"Manchester United";2216;"Women's Super League";"RDM";81;81;29;1000;46200000;;"£"
2,6e+07;"San Diego Wave";2221;"NWSL";"RM";81;81;28;1000;54600000;;"€"
24500000;"Kansas City";2221;"NWSL";"SUB";81;81;30;1000;51500000;;"€"
25500000;"Levante";2222;"Primera Division Women";"SUB";81;81;29;1000;53600000;;"€"
44500000;"Chelsea";2216;"Women's Super League";"SUB";80;88;22;900;100100000;113004;"£"
47500000;"Fleury 91";2218;"Feminine Division 1";"ST";80;88;21;950;109300000;;"€"
4,3e+07;"Paris";2218;"Feminine Division 1";"LM";80;87;22;1000;98900000;;"€"
4e+07;"Paris Saint Germain";2218;"Feminine Division 1";"CM";80;87;21;750;9,2e+07;;"€"
42500000;"North Carolina Courage";2221;"NWSL";"RM";80;87;23;1000;97800000;;"€"
38500000;"Atletico Madrid";2222;"Primera Division Women";"LCB";80;87;25;1000;88600000;;"€"
3e+07;"Chicago Red Stars";2221;"NWSL";"LCB";80;86;24;900;6,9e+07;;"€"
3,1e+07;"Eintracht Frankfurt";2215;"Bundesliga Women";"RB";80;86;23;900;71300000;113004;"€"
3,1e+07;"Chelsea";2216;"Women's Super League";"SUB";80;86;24;900;69800000;;"£"
3e+07;"Montpellier";2218;"Feminine Division 1";"RCB";80;86;23;900;6,9e+07;113003;"€"
3e+07;"San Diego Wave";2221;"NWSL";"LCB";80;86;23;900;6,9e+07;113009;"€"
3,1e+07;"Chelsea";2216;"Women's Super League";"SUB";80;85;25;1000;65900000;113000;"£"
29500000;"Montpellier";2218;"Feminine Division 1";"LCB";80;85;22;900;64200000;;"€"
31500000;"Eintracht Frankfurt";2215;"Bundesliga Women";"RCM";80;85;24;1000;68500000;;"€"
3,2e+07;"Eintracht Frankfurt";2215;"Bundesliga Women";"LS";80;85;23;1000;69600000;113004;"€"
3,2e+07;"Hoffenheim";2215;"Bundesliga Women";"LW";80;85;24;1000;69600000;;"€"
25500000;"Bayer Leverkusen";2215;"Bundesliga Women";"RES";80;85;24;700;55500000;;"€"
31500000;"Manchester City";2216;"Women's Super League";"SUB";80;85;24;1000;68500000;;"£"
26500000;"Bayer Leverkusen";2215;"Bundesliga Women";"RDM";80;84;25;1000;57600000;;"€"
22500000;"OL Reign";2221;"NWSL";"GK";80;84;26;850;48900000;;"€"
2,7e+07;"Bayern Munich";2215;"Bundesliga Women";"SUB";80;84;24;900;58700000;;"€"
2,9e+07;"Manchester United";2216;"Women's Super League";"ST";80;83;24;1000;63100000;;"£"
25500000;"Freiburg";2215;"Bundesliga Women";"RB";80;83;26;1000;55500000;;"€"
2,8e+07;"Portland Thorns";2221;"NWSL";"LW";80;83;25;1000;60900000;;"€"
2,5e+07;"Levante";2222;"Primera Division Women";"CDM";80;83;26;1000;54400000;;"€"
1,6e+07;"Atletico Madrid";2222;"Primera Division Women";"GK";80;81;30;850;34800000;;"€"
2,5e+07;"Juventus";603;"Serie A Women";"SUB";80;81;26;1000;54400000;;"€"
2e+07;"Kansas City";2221;"NWSL";"RES";80;80;30;1000;4,2e+07;;"€"
1,4e+07;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";80;80;30;850;28700000;;"€"
22500000;"Real Madrid";2222;"Primera Division Women";"LCM";80;80;27;1000;47300000;113003;"€"
2,1e+07;"West Ham United";2216;"Women's Super League";"ST";80;80;29;1000;44100000;113003;"£"
2,1e+07;"Fleury 91";2218;"Feminine Division 1";"LCM";80;80;28;1000;44100000;;"€"
15500000;"Montpellier";2218;"Feminine Division 1";"RB";80;80;31;1000;32600000;;"€"
17500000;"San Diego Wave";2221;"NWSL";"SUB";80;80;30;1000;36800000;;"€"
17500000;"Freiburg";2215;"Bundesliga Women";"RCM";80;80;31;1000;36800000;;"€"
20500000;"Fleury 91";2218;"Feminine Division 1";"RCM";80;80;29;1000;43100000;113003;"€"
14500000;"Angel City";2221;"NWSL";"RES";80;80;32;1000;30500000;;"€"
20500000;"Brighton & Hove Albion";2216;"Women's Super League";"SUB";80;80;29;1000;43100000;115682;"£"
17500000;"Bayern Munich";2215;"Bundesliga Women";"SUB";80;80;30;1000;36800000;;"€"
1,5e+07;"Chelsea";2216;"Women's Super League";"LCM";80;80;31;1000;30800000;;"£"
1,9e+07;"Liverpool";2216;"Women's Super League";"RWB";80;80;28;1000;41800000;;"£"
20500000;"Montpellier";2218;"Feminine Division 1";"RM";80;80;29;1000;43100000;;"€"
1,8e+07;"North Carolina Courage";2221;"NWSL";"RDM";80;80;29;1000;37800000;;"€"
1,1e+07;"Angel City";2221;"NWSL";"GK";80;80;31;850;23100000;;"€"
18500000;"San Diego Wave";2221;"NWSL";"RB";80;80;29;1000;38900000;;"€"
18500000;"Levante";2222;"Primera Division Women";"RB";80;80;29;1000;38900000;;"€"
3,4e+07;"Barcelona";2222;"Primera Division Women";"SUB";79;89;22;650;76500000;113012;"€"
3,4e+07;"Bayern Munich";2215;"Bundesliga Women";"GK";79;88;22;650;78200000;;"€"
33500000;"Eintracht Frankfurt";2215;"Bundesliga Women";"GK";79;88;23;650;77100000;;"€"
39500000;"Real Madrid";2222;"Primera Division Women";"SUB";79;88;21;900;90900000;113003;"€"
37500000;"Madrid CFF";2222;"Primera Division Women";"RWB";79;88;22;850;86300000;;"€"
3,6e+07;"Kansas City";2221;"NWSL";"SUB";79;88;20;700;82800000;;"€"
3,4e+07;"Real Sociedad";2222;"Primera Division Women";"GK";79;88;21;500;78200000;;"€"
3,7e+07;"Real Madrid";2222;"Primera Division Women";"LB";79;87;23;850;85100000;113012;"€"
3,6e+07;"Atletico Madrid";2222;"Primera Division Women";"LB";79;87;19;500;82800000;;"€"
3e+07;"Manchester City";2216;"Women's Super League";"GK";79;86;23;650;6,9e+07;113002;"£"
3,4e+07;"Real Madrid";2222;"Primera Division Women";"SUB";79;86;22;850;78200000;;"€"
3,4e+07;"Wolfsburg";2215;"Bundesliga Women";"SUB";79;86;22;850;76500000;;"€"
3,4e+07;"Freiburg";2215;"Bundesliga Women";"LB";79;86;22;850;78200000;;"€"
34500000;"Olympique Lyonnais";2218;"Feminine Division 1";"SUB";79;86;19;700;77600000;113003;"€"
29500000;"Levante";2222;"Primera Division Women";"SUB";79;86;20;500;67900000;;"€"
30500000;"Athletic Bilbao";2222;"Primera Division Women";"GK";79;86;21;500;70200000;;"€"
